date,beach_id,beach_name,latitude,longitude,sampling_route,sampling_type,enterococcus_colonies_per_100_mL,temperature_celsius,pH,observations
21-Jun-23,RW-38,Muelle de Arecibo,18.4792583,-66.7004667,Route: 6: Arecibo - Vega Alta,Routine,74,28.1,8.01,
21-Jun-23,RW-39,Mar Chiquita,18.4729167,-66.4856556,Route: 6: Arecibo - Vega Alta,Routine,10,28.9,8.09,
21-Jun-23,RW-23,Balneario de Puerto Nuevo,18.4913667,-66.3990444,Route: 6: Arecibo - Vega Alta,Routine,86,28.9,8.05,
21-Jun-23,RW-17,Balneario Cerro Gordo or Javier Calderón Nieves,18.48125,-66.3406556,Route: 6: Arecibo - Vega Alta,Routine,10,29.2,8.10/8.09,
21-Jun-23,RW-18,Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,Route 1: Dorado - Loíza,Routine,10,28.1,8.24,
21-Jun-23,RW-19,Balneario Punta Salinas,18.4716583,-66.1859944,Route 1: Dorado - Loíza,Routine,31,27.9,8.19,
21-Jun-23,RW-20A,Balneario El Escambrón,18.4672361,-66.0899583,Route 1: Dorado - Loíza,Routine,350,27.2,8.11,
21-Jun-23,RW-25A,Playa Sixto Escobar,18.4667306,-66.0866667,Route 1: Dorado - Loíza,Routine,10,27.9,8.15,
21-Jun-23,RW-26,Playita del Condado,18.4611306,-66.0824083,Route 1: Dorado - Loíza,Routine,<10,29.5,8.18,
21-Jun-23,RW-27,Ocean Park,18.4530111,-66.0488806,Route 1: Dorado - Loíza,Routine,<10,29,8.19,
21-Jun-23,RW-28,Playa El Alambique,18.4440917,-66.02215,Route 1: Dorado - Loíza,Routine,20,29.1,8.23,
21-Jun-23,RW-21C,Balneario de Carolina,18.4459889,-66.0035722,Route 1: Dorado - Loíza,Routine,20,29.4,8.23,
21-Jun-23,RW-29,Vacía Talega,18.4478583,-65.9062306,Route 1: Dorado - Loíza,Routine,259,29.5,8.24,
21-Jun-23,RW-7,Balneario Punta Guilarte,17.9620417,-66.04,Route 2: Arroyo - Luquillo,Routine,30,29.4,8,
21-Jun-23,RW-6,Balneario de Patillas,17.973975,-65.9889806,Route 2: Arroyo - Luquillo,Routine,75,29.4,7.82,
21-Jun-23,RW-30,Playa Guayanés,18.0626944,-65.8191944,Route 2: Arroyo - Luquillo,Routine,31,29.1,8.01,
21-Jun-23,RW-4,Balneario Punta SantiAug,18.1584139,-65.7551861,Route 2: Arroyo - Luquillo,Routine,31,29.4,8.05,
21-Jun-23,RW-31,Tropical Beach,18.1869278,-65.7259667,Route 2: Arroyo - Luquillo,Routine,482,29.2,8.02,
21-Jun-23,RW-2,Balneario Seven Seas,18.3692667,-65.6360722,Route 2: Arroyo - Luquillo,Routine,<10,28.7,8.15,
21-Jun-23,RW-32,Playa Azul,18.3818667,-65.7184583,Route 2: Arroyo - Luquillo,Routine,<10,29.5,8.13,
